name,price,link
ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060-O12G-V2,$300,https://www.newegg.com/p/1FT-000Y-007G0?Description=3060&cm_re=3060-_-1FT-000Y-007G0-_-Product
GIGABYTE Eagle OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR),$324,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932434R?Description=3060&cm_re=3060-_-14-932-434R-_-Product
GIGABYTE GeForce RTX 3060 OC Windforce 12GB GDDR6 GV-N3060GAMING OC-12GD Video Graphic Card GPU,$349,https://www.newegg.com/gigabyte-rtx-3060/p/1FT-000A-005B1?Description=3060&cm_re=3060-_-9SIADFRHJY6216-_-Product
"GIGABYTE EAGLE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card, LHR GV-N3060EAGLE OC-12GD (rev. 2.0)",$349,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932531R?Description=3060&cm_re=3060-_-14-932-531R-_-Product
"GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card, LHR GV-N3060GAMING OC-12GD (rev. 2.0)",$349,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060gaming-oc-12gd/p/N82E16814932509?Description=3060&cm_re=3060-_-14-932-509-_-Product
"ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card, OC Edition TUF-RTX3060-O12G-V2-GAMING LHR",$350,https://www.newegg.com/p/1FT-000Y-007J2?Description=3060&cm_re=3060-_-1FT-000Y-007J2-_-Product
GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),$351,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060gaming-oc-12gd/p/N82E16814932433R?Description=3060&cm_re=3060-_-14-932-433R-_-Product
"GIGABYTE VISION OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card, LHR GV-N3060VISION OC-12GD (rev. 2.0)",$359,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060vision-oc-12gd/p/N82E16814932532R?Description=3060&cm_re=3060-_-14-932-532R-_-Product
MSI RTX 3060 Ti Gaming X 8G LHR Gaming GeForce RTX 3060 Ti Video Card,$360,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx-3060-ti-gaming-x-8g-lhr/p/1FT-0009-009F6?Description=3060&cm_re=3060-_-1FT-0009-009F6-_-Product
GIGABYTE EAGLE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE OC-12GD,$369,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932516?Description=3060&cm_re=3060-_-14-932-516-_-Product
ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING,$370,https://www.newegg.com/p/1FT-000Y-007N4?Description=3060&cm_re=3060-_-1FT-000Y-007N4-_-Product
GIGABYTE GV-N306TAORUS E-8GD (rev. 2.0) AORUS GeForce RTX 3060 Ti Video Card,$375,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306taorus-e-8gd/p/1FT-000A-004S2?Description=3060&cm_re=3060-_-1FT-000A-004S2-_-Product
GIGABYTE GeForce RTX 3060 Gaming OC 12GB GDDR6 GV-N3060GAMING OC-12GD Video Graphic Card GPU,$379,https://www.newegg.com/gigabyte-geforce-rtx-3060/p/1FT-000A-005K2?Description=3060&cm_re=3060-_-9SIADFRJ074452-_-Product
GIGABYTE GV-N306TGAMINGOC PRO-8GD (rev. 3.0) Gaming GeForce RTX 3060 Ti Video Card,$380,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgamingoc-pro-8gd/p/1FT-000A-004C6?Description=3060&cm_re=3060-_-1FT-000A-004C6-_-Product
ASUS ROG Strix GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3060-O12G-V2-GAMING,$385,https://www.newegg.com/p/1FT-000Y-007K4?Description=3060&cm_re=3060-_-1FT-000Y-007K4-_-Product
MAXSUN Nvidia GeForce RTX 3060 iCraft OC Edtion 12G GDDR6 Vidoe Gaming Graphics Cards PCI Express 4.0 x16 HDMI 2.1 GPU,$388,https://www.newegg.com/maxsun-rtx-3060/p/1FT-009J-000A0?Description=3060&cm_re=3060-_-1FT-009J-000A0-_-Product
"ATS RTX 3060 12G GAMING Video Card, GPU Graphics 12GB 192-bit GDDR6 PCI Express 4.0,1777MHz Core Frequency,2×HDMI2.1 Interface, 3×DisplayPort1.4a Interface",$389,https://www.newegg.com/p/1FT-00HW-00021?Description=3060&cm_re=3060-_-9SIB601J7R7784-_-Product
"ATS RTX3060TI-O8G-V2-GAMING LHR(LHR) Video Card,8GB 256-bit GDDR6 PCI Express 4.0 x16,1740MHz Core Frequency,2×HDMI2.1, 3×DisplayPort1.4a",$390,https://www.newegg.com/p/1FT-000Y-008C9?Description=3060&cm_re=3060-_-9SIBF9VJ826803-_-Product
MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti GAMING X TRIO LHR,$405,https://www.newegg.com/msi-geforce-rtx-3060-ti-geforce-rtx-3060-ti-gaming-x-trio-lhr/p/1FT-0009-00AJ3?Description=3060&cm_re=3060-_-9SIBF9VJ895457-_-Product
MSI RTX 3060 Ti GAMING Z TRIO 8G LHR Gaming GeForce RTX 3060 Ti Video Card,$405,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx-3060-ti-gaming-z-trio-8g-lhr/p/1FT-0009-009H1?Description=3060&cm_re=3060-_-1FT-0009-009H1-_-Product
"PNY GeForce RTX 3060 12GB XLR8 Gaming REVEL EPIC-X RGB Single Fan Graphics Card, VCG306012SFXPPB",$406,https://www.newegg.com/pny-geforce-rtx-3060-vcg306012sfxppb/p/N82E16814133820?Description=3060&cm_re=3060-_-14-133-820-_-Product
GIGABYTE Eagle GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE-12GD (rev. 2.0) (LHR),$410,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-12gd/p/N82E16814932464?Description=3060&cm_re=3060-_-14-932-464-_-Product
GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060AORUS E-12GD,$411,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060aorus-e-12gd/p/N82E16814932506?Description=3060&cm_re=3060-_-14-932-506-_-Product
"ZOTAC GAMING GeForce RTX 3060 AMP White Edition, 12GB GDDR6, 192-bit, 15 Gbps, PCI 4.0, Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, ZT-A30600F-10P",$419,https://www.newegg.com/p/1FT-000M-00376?Description=3060&cm_re=3060-_-1FT-000M-00376-_-Product
MAXSUN GeForce RTX 3060 12G GDDR6 Vidoe Gaming Computer Graphics Cards ITX Design PCI Express 4.0 x16 HDMI 2.1 GPU,$419,https://www.newegg.com/maxsun-rtx-3060/p/1FT-009J-000C1?Description=3060&cm_re=3060-_-9SIAXZZJJU2307-_-Product
NVIDIA ZOTAC GAMING GeForce RTX 3060 Twin Edge 12G OC Graphics Card 12GB GDDR6 1807MHz Boost Clock 192bit Bus Width PCI Express 4.0x16 3xDisplayPort HDMI (ZT-A30600K-10H),$419,https://www.newegg.com/p/1FT-000M-00375?Description=3060&cm_re=3060-_-9SIAFVFGW32167-_-Product
Peladn Gaming RTX 3060 12G Graphics Card GDDR6 PCI Express 4.0 Video Card Dual-fan Edition,$419,https://www.newegg.com/peladn-ga106-rtx3060/p/27N-008H-00006?Description=3060&cm_re=3060-_-9SIB3GDJJZ0558-_-Product
"PNY GeForce RTX 3060 12GB XLR8 Gaming REVEL EPIC-X RGB Dual Fan Graphics Card, VCG306012DFXPPB",$422,https://www.newegg.com/pny-geforce-rtx-3060-vcg306012dfxppb/p/N82E16814133821?Description=3060&cm_re=3060-_-14-133-821-_-Product
"ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, FREEZE Fan Stop, ZT-A30600E-10M",$423,https://www.newegg.com/zotac-geforce-rtx-3060-zt-a30600e-10m/p/N82E16814500509?Description=3060&cm_re=3060-_-14-500-509-_-Product
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 VENTUS 2X 12G,$428,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-2x-12g/p/N82E16814137638?Description=3060&cm_re=3060-_-14-137-638-_-Product
Yeston RTX 3060 12GB GDDR6 LHR Graphics cards Nvidia pci express x16 4.0 video cards Desktop computer PC video gaming graphics card,$429,https://www.newegg.com/yeston-geforce-rtx-3060-rtx3060-12g-d6-ma/p/1FT-007N-00077?Description=3060&cm_re=3060-_-9SIAZUEJ4U5241-_-Product
"ASUS ROG Strix NVIDIA GeForce RTX 3060 Ti V2 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-slot, Super Alloy Power II, GPU Tweak II)",$435,https://www.newegg.com/p/1FT-000Y-008C8?Description=3060&cm_re=3060-_-9SIBF9VJ7R9680-_-Product
GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD,$439,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060gaming-oc-12gd/p/N82E16814932507R?Description=3060&cm_re=3060-_-14-932-507R-_-Product
MSI Gaming GeForce RTX 3060 Ti Ventus 3X 8G OCV1 LHR GDRR6 256-Bit Graphics Card,$441,https://www.newegg.com/msi-geforce-rtx-3060-ti-ventus-3x-8g-oc-lhr/p/1FT-0009-00AB9?Description=3060&cm_re=3060-_-1FT-0009-00AB9-_-Product
"ASUS Phoenix NVIDIA GeForce RTX 3060 V2 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Protective Backplate, Dual Ball Fan Bearings, Auto-Extreme)",$445,https://www.newegg.com/asus-geforce-rtx-3060-ph-rtx3060-12g-v2/p/N82E16814126532?Description=3060&cm_re=3060-_-14-126-532-_-Product
ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060-O12G-V2-GAMING,$446,https://www.newegg.com/asus-geforce-rtx-3060-tuf-rtx3060-o12g-v2-gaming/p/1FT-000Y-006D6?Description=3060&cm_re=3060-_-1FT-000Y-006D6-_-Product
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,$450,https://www.newegg.com/p/1FT-0009-00685?Description=3060&cm_re=3060-_-1FT-0009-00685-_-Product
GIGABYTE Gaming GV-N306TGAMINGOC PRO-8GD (rev. 3.0) (LHR) OC PRO GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card,$455,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgamingoc-pro-8gd/p/1FT-000A-005H9?Description=3060&cm_re=3060-_-1FT-000A-005H9-_-Product
Yeston RTX 3060 TI 8GB GDDR6 LHR Graphics cards Nvidia pci express x16 4.0 video cards Desktop computer PC video gaming graphics card,$459,https://www.newegg.com/yeston-geforce-rtx-3060-ti-rtx-3060ti/p/1FT-007N-00076?Description=3060&cm_re=3060-_-9SIAZUEJ1V6503-_-Product
"ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, FREEZE Fan Stop ZT-A30610H-10MLHR",$459,https://www.newegg.com/zotac-geforce-rtx-3060-ti-zt-a30610h-10mlhr/p/N82E16814500518?Description=3060&cm_re=3060-_-14-500-518-_-Product
GIGABYTE AORUS GeForce RTX 3060 ELITE 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0) (LHR),$459,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060aorus-e-12gd/p/N82E16814932431R?Description=3060&cm_re=3060-_-14-932-431R-_-Product
Peladn GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti 3X 8G OC,$459,https://www.newegg.com/peladn-ga-104-rtx30/p/1FT-00EY-00021?Description=3060&cm_re=3060-_-9SIB3GDJJU2317-_-Product
MSI GeForce RTX 3060 AERO ITX 12G OC NVIDIA 12GB GDDR6 Graphic Card,$466,https://www.newegg.com/p/1FT-0009-00923?Description=3060&cm_re=3060-_-1FT-0009-00923-_-Product
"51RISC RTX 3060 12G GAMING Video Card, LHR GPU Graphics 12GB 192-bit GDDR6 PCI Express 4.0,1777MHz Core Frequency,1×HDMI2.1 Interface, 3×DisplayPort1.4a Interface",$469,https://www.newegg.com/p/1FT-00H9-00010?Description=3060&cm_re=3060-_-9SIB86XHFU4569-_-Product
MAXSUN GeForce RTX 3060 Ti iCraft OC Edtion 8G GDDR6 Vidoe Gaming Graphics Cards PCI Express 4.0 x16 HDMI 2.1 GPU,$478,https://www.newegg.com/maxsun-rtx-3060-ti/p/1FT-009J-000A8?Description=3060&cm_re=3060-_-1FT-009J-000A8-_-Product
GIGABYTE GeForce RTX 3060 Ti Eagle OC 8GB GDDR6 GV-N306TEAGLE OC-8GD RE Video Graphic Card GPU,$479,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti/p/1FT-000A-005K0?Description=3060&cm_re=3060-_-9SIADFRJ074451-_-Product
EVGA GeForce RTX 3060 12GB XC GAMING GDDR6 Video Graphics Card GPU,$489,https://www.newegg.com/p/1FT-001K-00DG2?Description=3060&cm_re=3060-_-1FT-001K-00DG2-_-Product
EVGA NVIDIA GeForce RTX 3060 XC 12GB DDDR6 Video Card - NEW SEALED,$489,https://www.newegg.com/evga-geforce-rtx-3060-12g-p5-3657-kr/p/1FT-0004-006M1?Description=3060&cm_re=3060-_-1FT-0004-006M1-_-Product
MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,$489,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx-3060-ti-ventus-3x-8g-oc-lhr/p/N82E16814137680R?Description=3060&cm_re=3060-_-14-137-680R-_-Product
PNY GeForce RTX 3060 Ti 8GB XLR8 Gaming Revel Epic-X RGB Dual Fan Graphics Card LHR VCG3060T8LDFXPPB,$489,https://www.newegg.com/p/1FT-000P-005M0?Description=3060&cm_re=3060-_-1FT-000P-005M0-_-Product
Asus Dual GeForce RTX 3060 V2 OC Edition NVIDIA 12GB GDDR6 Graphics Card,$489,https://www.newegg.com/p/1FT-000Y-00755?Description=3060&cm_re=3060-_-1FT-000Y-00755-_-Product
"ASUS DUAL GeForce RTX 3060 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-slot Design, Axial-tech Fan Design, 0dB Technology), DUAL-RTX3060-O12G",$495,https://www.newegg.com/asus-dual-rtx3060-o12g/p/N82E16814126496?Description=3060&cm_re=3060-_-14-126-496-_-Product
ZOTAC GAMING GeForce RTX 3060 Ti AMP White Edition LHR 8GB GDDR6 PCI Express 4.0 ATX Video Card ZT-A30610F-10PLHR,$499,https://www.newegg.com/zotac-geforce-rtx-3060-ti-zt-a30610f-10plhr/p/N82E16814500524?Description=3060&cm_re=3060-_-14-500-524-_-Product
"GIGABYTE GeForce RTX 3060 EAGLE OC 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE OC-12GD Video Card",$499,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932403R?Description=3060&cm_re=3060-_-14-932-403R-_-Product
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$499,https://www.newegg.com/p/1FT-000M-002Z7?Description=3060&cm_re=3060-_-1FT-000M-002Z7-_-Product
MSI GeForce RTX 3060 GAMING X 12G NVIDIA 12GB GDDR6 Graphics Card,$501,https://www.newegg.com/p/1FT-0009-008X9?Description=3060&cm_re=3060-_-1FT-0009-008X9-_-Product
"ASUS ATS RTX 3060 12G GAMING Video Card, GPU  Graphics 12GB 192-bit GDDR6 PCI Express 4.0,1777MHz Core Frequency,2×HDMI2.1 Interface, 3×DisplayPort1.4a Interface",$504,https://www.newegg.com/geforce-rtx-3060-asus-ats-rtx3060-o12g-gaming/p/1FT-000Y-00711?Description=3060&cm_re=3060-_-1FT-000Y-00711-_-Product
"GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",$509,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060gaming-oc-12gd/p/N82E16814932402?Description=3060&cm_re=3060-_-14-932-402-_-Product
MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti GAMING Z TRIO 8G LHR,$510,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx306tgamingztrio8l/p/N82E16814137684?Description=3060&cm_re=3060-_-14-137-684-_-Product
"GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE-12GD Video Card",$510,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-12gd/p/N82E16814932399?Description=3060&cm_re=3060-_-14-932-399-_-Product
"GIGABYTE AORUS GeForce RTX 3060 Ti ELITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-bit GDDR6, GV-N306TAORUS E-8GD (rev. 2.0) Video Card (LHR)",$514,https://www.newegg.com/p/1FT-000A-002G7?Description=3060&cm_re=3060-_-1FT-000A-002G7-_-Product
PNY XLR8 Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 REVEL EPIC-X RGB Dual Fan Edition LHR VCG3060T8LDFXPPB,$517,https://www.newegg.com/pny-geforce-rtx-3060-ti-vcg3060t8ldfxppb/p/N82E16814133838?Description=3060&cm_re=3060-_-14-133-838-_-Product
"ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card, OC Edition TUF-RTX3060-O12G-GAMING",$519,https://www.newegg.com/asus-geforce-rtx-3060-tuf-rtx3060-o12g-gaming/p/N82E16814126491?Description=3060&cm_re=3060-_-14-126-491-_-Product
GDDR6 Gigabyte GeForce RTX 3060 EAGLE OC 12G Graphics Card 8pin RTX 3060 Video Card GDDR6 192bit,$519,https://www.newegg.com/p/1FT-000A-003U0?Description=3060&cm_re=3060-_-9SIBBB1HE75045-_-Product
"GIGABYTE AORUS GeForce RTX 3060 ELITE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060AORUS E-12GD Video Card",$520,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060aorus-e-12gd/p/N82E16814932400?Description=3060&cm_re=3060-_-14-932-400-_-Product
"INNO3D GeForce RTX 3060 Black Gold Extreme OC (LHR) Graphics Card, 12GB 192-bit GDDR6, PCI Express 4.0,1×HDMI 2.1 Interface, 3×DisplayPort 1.4a Interface",$528,https://www.newegg.com/inno3d-geforce-rtx-3060-oc/p/1FT-000N-001F8?Description=3060&cm_re=3060-_-1FT-000N-001F8-_-Product
GIGABYTE Gaming OC PRO GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMINGOC PRO-8GD (rev. 3.0) (LHR),$529,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgamingoc-pro-8gd/p/N82E16814932453R?Description=3060&cm_re=3060-_-14-932-453R-_-Product
"GEFORCE RTX 3060 X2W LHR Graphics Card, 12GB 192-bit GDDR6, 1777MHz Core Frequency and 15000MHz Video Memory Frequency, 1×HDMI, 3×DisplayPort",$529,https://www.newegg.com/ax-rtx-3060-x2w-lhr/p/1FT-0040-00113?Description=3060&cm_re=3060-_-9SIA4REFJX5368-_-Product
GIGABYTE Gaming OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMING OC-8GD REV 2.0 (LHR),$529,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgaming-oc-8gd-rev-2-0/p/N82E16814932468R?Description=3060&cm_re=3060-_-14-932-468R-_-Product
ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3060-12G,$530,https://www.newegg.com/asus-geforce-rtx-3060-dual-rtx3060-12g/p/N82E16814126493?Description=3060&cm_re=3060-_-9SIAU94J2M0581-_-Product
